hani	latn
龐	brog
逄	brog
胮	brog
𩐨	brog
舽	brog
肛	xrog
啌	xrog
谾	xrog
舡	xrog
胦	qrog
腔	ꝁrog
𤟄	ꝁrog
羫	ꝁrog
控	ꝁrog
椌	ꝁrog
悾	ꝁrog
跫	ꝁrog
涳	ꝁrog
崆	ꝁrog
𩩝	ꝁrog
㾤	ꝁrog
㼹	ꝁrog
幢	drog
撞	drog
橦	drog
𣃘	drog
噇	drog
𩪘	drog
憃	ŧrog
䚎	ŧrog
𥡟	ŧrog
䄝	ŧrog
𧜧	ŧrog
樁	trog
𣻛	trog
㟅	grog
淙	d̦rog
鬃	d̦rog
㼻	d̦rog
𩞐	d̦rog
支	tie
𥾣	tie
只	tie
汥	tie
㲍	tie
巵	tie
梔	tie
枝	tie
衹	tie
㽻	tie
衼	tie
肢	tie
胑	tie
𨈛	tie
禔	tie
馶	tie
氏	tie
疻	tie
㩼	tie
鳷	tie
䧴	tie
觶	tie
榰	tie
㯄	tie
𪂅	tie
𧌔	tie
眵	tie
䡋	tie
𩍲	tie
移	jie
䄬	jie
迻	jie
𠩗	jie
杝	jie
鉹	jie
袲	jie
箷	jie
𥠥	jie
㥴	jie
詑	jie
簃	jie
䔟	jie
熪	jie
扅	jie
衪	jie
暆	jie
迆	jie
𤝻	jie
栘	jie
歋	jie
酏	jie
匜	jie
拸	jie
謻	jie
𠗺	jie
蛇	jie
虵	jie
螔	jie
𠐀	jie
𣣢	jie
䬁	jie
爲	hrye
為	hrye
潙	hrye
䧦	hrye
鄬	hrye
𩻟	hrye
嬀	krye
潙	krye
𪎮	xrye
麾	xrye
噅	xrye
撝	xrye
𩻟	xrye
䧦	xrye
逶	qrye
𣨙	qrye
萎	qrye
㮃	qrye
覣	qrye
蜲	qrye
痿	qrye
倭	qrye
委	qrye
䴧	qrye
蟡	qrye
糜	mrie
縻	mrie
㸏	mrie
𪎕	mrie
蘼	mrie
䊳	mrie
𪎭	mrie
𦗕	mrie
醿	mrie
隓	xye
墮	xye
隳	xye
眭	xye
觿	xye
睢	xye
䜐	xye
鑴	xye
蘳	xye
鬌	drye
錘	drye
甀	drye
𡍮	dye
垂	dye
陲	dye
倕	dye
𦈼	dye
𨿠	dye
圌	dye
篅	dye
𥳙	dye
𠂹	dye
羸	lye
𡰠	lye
吹	ŧye
炊	ŧye
䶴	ŧye
鈹	ꝑrie
帔	ꝑrie
鮍	ꝑrie
披	ꝑrie
𤱍	ꝑrie
耚	ꝑrie
狓	ꝑrie
翍	ꝑrie
旇	ꝑrie
秛	ꝑrie
𤿎	ꝑrie
㱟	ꝑrie
陂	prie
詖	prie
碑	prie
羆	prie
𥀍	prie
𨰟	prie
𤜑	prie
𨧦	prie
𥶓	prie
襬	prie
藣	prie
隨	zye
隋	zye
𥶻	zye
虧	ꝁrye
闚	ꝁye
窺	ꝁye
竒	crie
琦	crie
騎	crie
鵸	crie
弜	crie
鬾	crie
碕	crie
𢺷	crie
㩽	crie
錡	crie
祇	cie
示	cie
衹	cie
岐	cie
歧	cie
𨙸	cie
馶	cie
疧	cie
蚑	cie
忯	cie
䞚	cie
翄	cie
𢻚	cie
軝	cie
𩉬	cie
芪	cie
汥	cie
跂	cie
䲬	cie
蚑	cie
䉻	cie
𦭲	cie
伎	cie
𨱜	cie
𠁭	cie
犧	xrie
羲	xrie
焁	xrie
桸	xrie
巇	xrie
羛	xrie
戲	xrie
𤃪	xrie
曦	xrie
𢹍	xrie
𧕆	xrie
䚙	xrie
䖒	xrie
㺣	xrie
𣤴	xrie
𢨛	xrie
㚀	xrie
隵	xrie
㩻	ꝁrie
觭	ꝁrie
踦	ꝁrie
㱦	ꝁrie
崎	ꝁrie
𦖊	ꝁrie
碕	ꝁrie
𤘌	ꝁrie
㥓	ꝁrie
䗁	ꝁrie
攲	ꝁrie
宜	grie
宐	grie
𠣨	grie
㝖	grie
儀	grie
𥪺	grie
䣡	grie
䴊	grie
轙	grie
涯	grie
崖	grie
皮	brie
疲	brie
郫	brie
罷	brie
㯅	brie
犤	brie
提	die
𦑡	die
㖷	die
匙	die
䈕	die
堤	die
禔	die
𦳚	die
忯	die
姼	die
眂	die
𣏚	die
兒	nie
𠒆	nie
唲	nie
婼	nie
離	lie
籬	lie
醨	lie
罹	lie
璃	lie
酈	lie
𣀷	lie
驪	lie
𪖂	lie
樆	lie
鸝	lie
鵹	lie
𪅆	lie
縭	lie
褵	lie
蘺	lie
䕻	lie
麗	lie
离	lie
䍦	lie
㰚	lie
蠡	lie
䅻	lie
孋	lie
漓	lie
灕	lie
𧕯	lie
㷰	lie
𧕮	lie
攡	lie
黐	lie
矖	lie
穲	lie
𢟢	lie
𢥗	lie
謧	lie
劙	lie
疵	d̦ie
骴	d̦ie
玼	d̦ie
茈	d̦ie
𣐑	d̦ie
胔	d̦ie
飺	d̦ie
鴜	d̦ie
貲	ție
頿	ție
鴜	ție
𪕊	ție
鮆	ție
訾	ție
鄑	ție
㠿	ție
媊	ție
𨚖	ție
㰣	ție
鈭	ție
姕	ție
𦺱	ție
䖪	ție
觜	ție
羈	krie
畸	krie
羇	krie
掎	krie
攲	krie
竒	krie
㱦	krie
妓	krie
躸	krie
卑	pie
鵯	pie
椑	pie
箄	pie
裨	pie
鞞	pie
𩔹	pie
痺	pie
渒	pie
錍	pie
𢃍	pie
陴	bie
𩫫	bie
焷	bie
脾	bie
䴽	bie
埤	bie
裨	bie
蜱	bie
𧓎	bie
螷	bie
蠯	bie
㯅	bie
郫	bie
𪌈	bie
紕	bie
䌳	šie
絁	šie
施	šie
葹	šie
䙾	šie
鍦	šie
鉈	šie
鸍	šie
𪓿	šie
䗐	šie
𧠜	šie
𢻫	šie
斯	sie
虒	sie
𩆵	sie
榹	sie
㴲	sie
廝	sie
㒋	sie
凘	sie
磃	sie
㾷	sie
傂	sie
謕	sie
鼶	sie
𪆁	sie
蟴	sie
㽄	sie
螔	sie
䫢	sie
䌳	sie
䔮	sie
菥	sie
𥕶	sie
蜤	sie
燍	sie
禠	sie
鐁	sie
差	ṯrie
嵯	ṯrie
𪙉	ṯrie
縒	ṯrie
摛	ŧrie
螭	ŧrie
誺	ŧrie
魑	ŧrie
黐	ŧrie
㷰	ŧrie
离	ŧrie
𡴥	ŧrie
彲	ŧrie
彌	mie
𢏏	mie
鸍	mie
镾	mie
䍘	mie
𨤐	mie
𥉓	mie
㣆	mie
獼	mie
𥸀	mie
擟	mie
麊	mie
冞	mie
㜷	mie
䥸	mie
𥎖	mie
瀰	mie
雌	ṯie
𦙼	ṯie
姕	ṯie
鈭	ṯie
𦍧	ṯie
知	trie
䵹	trie
鼅	trie
蜘	trie
䣽	trie
䝷	trie
漪	qrie
猗	qrie
椅	qrie
旖	qrie
禕	qrie
陭	qrie
欹	qrie
㾨	qrie
犄	qrie
𩕲	qrie
檹	qrie
馳	drie
趍	drie
池	drie
簃	drie
篪	drie
䶵	drie
踟	drie
褫	drie
䪧	drie
䶔	drie
誃	drie
傂	drie
䞾	drie
眭	sye
危	grye
㕒	grye
洈	grye
峗	grye
詑	xie
焁	xie
釃	srie
簁	srie
欐	srie
襹	srie
褷	srie
𧕯	srie
籭	srie
䪎	srye
䭨	srye
痿	nye
䬐	nye
厜	ție
觜	ție
纗	ție
惢	ție
嫢	ție
㭰	ție
𩓸	kye
𩓡	kye
槻	kye
規	kye
鬹	kye
𨾚	kye
摫	kye
劑	țye
㭰	țye
𦸺	țye
臇	țye
𤎱	țye
㷷	țye
衰	ṯrye
夊	ṯrye
腄	trye
箠	trye
㩾	trye
䮔	țye
眵	ŧie
䌳	ŧie
齜	țrie
𤿎	ꝑie
䔺	jye
𩁌	jye
蠵	jye
欈	jye
𧲚	jye
䝐	jye
齹	d̦rie
脂	ti
祗	ti
汦	ti
砥	ti
栺	ti
鴲	ti
㴯	ti
疻	ti
䓜	ti
𥁼	ti
姨	ji
彞	ji
寅	ji
夷	ji
峓	ji
恞	ji
眱	ji
𣟗	ji
珆	ji
蔩	ji
𡰥	ji
痍	ji
䧅	ji
荑	ji
桋	ji
蛦	ji
胰	ji
鮧	ji
羠	ji
羨	ji
鏔	ji
𢓡	ji
鴺	ji
𡱐	ji
跠	ji
洟	ji
師	sri
鰤	sri
蒒	sri
篩	sri
獅	sri
螄	sri
𣬈	bi
毗	bi
比	bi
琵	bi
㮰	bi
芘	bi
沘	bi
貔	bi
豼	bi
膍	bi
肶	bi
蚍	bi
𧖈	bi
枇	bi
仳	bi
𨈚	bi
魮	bi
鈚	bi
𦳈	bi
𦊁	bi
阰	bi
𧑜	bi
鵧	bi
咨	ți
資	ți
粢	ți
𪗉	ți
𪗋	ți
𧞓	ți
諮	ți
姿	ți
齍	ți
澬	ți
𣳩	ți
齎	ți
蒫	ți
𩆂	ți
𩄚	ți
飢	kri
机	kri
肌	kri
虮	kri
鴟	ŧi
𨾦	ŧi
鵄	ŧi
胵	ŧi
𩶅	ŧi
𧪡	ŧi
𨒬	ŧi
絺	ŧri
辴	ŧri
郗	ŧri
𥭘	ŧri
脪	ŧri
瓻	ŧri
訵	ŧri
郪	ṯi
趑	ṯi
𨌅	ṯi
趀	ṯi
𧾒	ṯi
𧠵	ṯi
𡰾	ṯi
𡳠	ṯi
蠀	ṯi
茨	d̦i
薋	d̦i
薺	d̦i
餈	d̦i
𩜴	d̦i
垐	d̦i
䆅	d̦i
𧓉	d̦i
瓷	d̦i
澬	d̦i
𥿆	d̦i
𨌅	d̦i
𩆂	d̦i
尼	nri
柅	nri
怩	nri
蚭	nri
跜	nri
呢	nri
𩚯	nri
䝚	nri
墀	dri
𡎰	dri
坻	dri
泜	dri
遲	dri
遟	dri
蚳	dri
岻	dri
彽	dri
阺	dri
荎	dri
菭	dri
謘	dri
莉	dri
貾	dri
私	si
鋖	si
厶	si
𦮺	si
㺨	si
尸	ši
鳲	ši
屍	ši
蓍	ši
鬐	cri
𦓀	cri
耆	cri
愭	cri
𧡺	cri
𥉙	cri
䅲	cri
祁	cri
𨪌	cri
鰭	cri
鮨	cri
伊	qi
咿	qi
𧉅	qi
黝	qi
黟	qi
棃	li
梨	li
𠠍	li
秜	li
蜊	li
蔾	li
犂	li
刕	li
𢤂	li
鯬	li
鑗	li
䴻	li
蟍	li
𠠍	li
葵	cyi
鄈	cyi
楑	cyi
𩹍	cyi
𢜽	cyi
𦝢	cyi
䳫	cyi
𧍜	cyi
追	tryi
䨨	tryi
娺	tryi
龜	kryi
𪚦	kryi
𤕣	kryi
䟸	kryi
螝	kryi
騩	kryi
蕤	nyi
甤	nyi
緌	nyi
擩	nyi
桵	nyi
䅑	nyi
捼	nyi
衰	sryi
榱	sryi
𤸬	sryi
惟	jyi
𣄧	jyi
維	jyi
遺	jyi
濰	jyi
壝	jyi
𥌰	jyi
蓶	jyi
䜅	jyi
琟	jyi
唯	jyi
𧔥	jyi
㶟	lyi
纍	lyi
虆	lyi
欙	lyi
𤜖	lyi
𡿔	lyi
㠥	lyi
𡤯	lyi
瓃	lyi
𥍔	lyi
鸓	lyi
儽	lyi
纝	lyi
綏	syi
雖	syi
荾	syi
荽	syi
䒘	syi
葰	syi
浽	syi
奞	syi
夊	syi
睢	syi
濉	syi
䅑	syi
逵	cryi
夔	cryi
𣦞	cryi
馗	cryi
戣	cryi
鍨	cryi
騤	cryi
犪	cryi
躨	cryi
𦝢	cryi
艽	cryi
䟸	cryi
𠊾	cryi
𨾗	cryi
頯	cryi
𠐽	cryi
𧢦	cryi
𢌳	cryi
頄	cryi
眉	mryi
睂	mryi
嵋	mryi
湄	mryi
𤃱	mryi
鶥	mryi
楣	mryi
瑂	mryi
矀	mryi
覹	mryi
䉠	mryi
黴	mryi
麋	mryi
蘪	mryi
郿	mryi
㵟	mryi
薇	mryi
𦗕	mryi
葿	mryi
攗	mryi
悲	pryi
錐	tyi
隹	tyi
𪋇	tyi
騅	tyi
㮅	tyi
䶆	tyi
萑	tyi
鵻	tyi
誰	dyi
䜅	dyi
脽	dyi
帷	hryi
邳	bryi
鉟	bryi
䲹	bryi
岯	bryi
魾	bryi
䫠	bryi
丕	ꝑryi
㔻	ꝑryi
伾	ꝑryi
秠	ꝑryi
䪹	ꝑryi
駓	ꝑryi
怌	ꝑryi
䫠	ꝑryi
豾	ꝑryi
髬	ꝑryi
魾	ꝑryi
鉟	ꝑryi
倠	xyi
婎	xyi
睢	xyi
眭	xyi
𢊄	xyi
鎚	dryi
椎	dryi
槌	dryi
桘	dryi
顀	dryi
